ซื้อที่ดินที่เมืองไทยไม่ได้	seu thii din thii mueang thai mai dai	sɯ̄~ tīˋ dhin tīˋ mɯ̄ang tai maiˋ dhaiˋ	在泰國不能買土地	engine-auto	
เงินสด	ngoen sot	ngə̄n sotˇ	現金	engine-auto	
ใช้เงินสด	chai ngoen sot	chai~ ngə̄n sotˇ	用現金	engine-auto	
ไม่ต้องใช้เงินสด	mai tong chai ngoen sot	maiˋ dɔ̄ngˋ chai~ ngə̄n sotˇ	不必用現金	engine-auto	
ก็ได้	ko dai	gɔ̄ˋ dhaiˋ	也可以	engine-auto	
ไม่ต้องใช้เงินสดก็ได้	mai tong chai ngoen sot ko dai	maiˋ dɔ̄ngˋ chai~ ngə̄n sotˇ gɔ̄ˋ dhaiˋ	不必用現金也可以	engine-auto	
ทอง	thong	tɔ̄ng	黃金	engine-auto	
ราคาทอง	rakha thong	rā kā tɔ̄ng	金價	engine-auto	
ราคาทองเท่าไหร่	rakha thong thao-rai	rā kā tɔ̄ng tāuˋ raiˇ	金價多少？	engine-auto	
วันนี้ราคาทองเท่าไหร่	wan nii rakha thong thao-rai	wan nī~ rā kā tɔ̄ng tāuˋ raiˇ	今天金價多少？	engine-auto	
แบงค์	baeng	bhɛ̄ng	紙鈔	engine-auto	
ใช้แบงค์ได้ไหม	chai baeng dai mai	chai~ bhɛ̄ng dhaiˋ maiˊ	可以用紙鈔嗎？	engine-auto	
แบงค์ร้อย	baeng roi	bhɛ̄ng rɔ̄i~	100元紙鈔	engine-auto	
ใช้แบงค์ร้อยได้ไหม	chai baeng roi dai mai	chai~ bhɛ̄ng rɔ̄i~ dhaiˋ maiˊ	可以用100元紙鈔嗎？	engine-auto	
แบงค์ห้าร้อย	baeng ha roi	bhɛ̄ng hāˋ rɔ̄i~	500元紙鈔	engine-auto	
แบงค์พัน	baeng phan	bhɛ̄ng pan	1000元紙鈔	engine-auto	
ใช้ไม่ได้	chai mai dai	chai~ maiˋ dhaiˋ	不能用	engine-auto	
แบงค์ห้าร้อยกับแบงค์พันใช้ไม่ได้	baeng ha roi gap baeng phan chai mai dai	bhɛ̄ng hāˋ rɔ̄i~ gapˇ bhɛ̄ng pan chai~ maiˋ dhaiˋ	500元和1000元紙鈔不能用	engine-auto	
โต๊ะ	to	do~	桌子	engine-auto	
มีโต๊ะไหม	mii to mai	mī do~ maiˊ	有桌子嗎？	engine-auto	
ขอโทษค่ะ	kho thot kha	kɔ̄ˊ tōtˋ kaˋ	對不起	engine-auto	
ไม่มีโต๊ะแล้ว	mai mii to laew	maiˋ mī do~ lɛ̄u~	沒有桌子了	engine-auto	
ขอโทษค่ะ ไม่มีโต๊ะแล้วค่ะ	kho thot kha mai mii to laew kha	kɔ̄ˊ tōtˋ kaˋ maiˋ mī do~ lɛ̄u~ kaˋ	對不起，沒有桌子了	engine-auto	
เก้าอี้	kao ii	gāuˋ īˋ	椅子	engine-auto	
ไม่มีเก้าอี้	mai mii kao ii	maiˋ mī gāuˋ īˋ	沒有椅子	engine-auto	
ไม่พอ	mai phor	maiˋ pɔ̄	不夠	engine-auto	
เก้าอี้ไม่พอ	kao ii mai phor	gāuˋ īˋ maiˋ pɔ̄	椅子不夠	engine-auto	
ขอเก้าอี้สองตัวค่ะ/ครับ	kho kao ii song tua kha/krap	kɔ̄ˊ gāuˋ īˋ sɔ̄ngˊ dūa kaˋ/krap~	請給我兩張椅子	engine-auto	
ขอเก้าอี้สองตัวหน่อย	kho kao ii song tua noi	kɔ̄ˊ gāuˋ īˋ sɔ̄ngˊ dūa nɔ̄iˇ	請給我兩張椅子 (客氣)	engine-auto	
หนัง	nang	nangˊ	皮	book-exact	(book-exact已用引擎重新驗證)
หนังไก่ทอด	nang gai thot	nangˊ gaiˇ tɔ̄tˋ	炸雞皮	engine-auto	
หนังหมู	nang muu	nangˊ mūˊ	豬皮	engine-auto	
กินแล้วสวย	kin laew suay	gin lɛ̄u~ sūayˊ	吃了會漂亮	engine-auto	
หนัง	nang	nangˊ	電影	book-exact	(book-exact已用引擎重新驗證)
ไปดูหนังกัน	pai du nang kan	bai dhū nangˊ gan	一起去看電影	engine-auto	
หนังอะไร	nang a-rai	nangˊ aˇ rai	什麼電影？	engine-auto	
ถ้าเป็นหนังผี	tha pen nang phi	tāˋ ben nangˊ pīˊ	如果是鬼片	engine-auto	
ฉันไม่ดู	chan mai du	chanˊ maiˋ dhū	我不看	engine-auto	
หนังสือ	nang sue	nangˊ sɯ̄ˊ	書	engine-auto	
อ่านหนังสือ	an nang sue	ānˇ nangˊ sɯ̄ˊ	看書	engine-auto	
หนังสือการ์ตูน	nang sue cartoon	nangˊ sɯ̄ˊ gā dūn	漫畫	engine-auto	
เด็กๆชอบอ่านหนังสือการ์ตูน	dek dek chop an nang sue cartoon	dhekˇ dhekˇ chɔ̄pˋ ānˇ nangˊ sɯ̄ˊ gā dūn	小朋友喜歡看漫畫書	engine-auto	
หนังสือเรียน	nang sue rian	nangˊ sɯ̄ˊ rīan	課本	engine-auto	
หนังสือพิมพ์	nang sue phim	nangˊ sɯ̄ˊ pim	報紙	engine-auto	
หนังสือพิมพ์ออนไลน์	nang sue phim on-line	nangˊ sɯ̄ˊ pim ɔ̄n lai	線上報紙	engine-auto	
คุณปู่ชอบอ่านหนังสือพิมพ์	khun puu chop an nang sue phim	kun būˇ chɔ̄pˋ ānˇ nangˊ sɯ̄ˊ pim	爺爺喜歡看報紙	engine-auto	
ปากกา	pakka	bākˇ gā	筆	engine-auto	
ปากกาดำ	pakka dam	bākˇ gā dham	黑色的筆	engine-auto	
ปากกาแดง	pakka daeng	bākˇ gā dhɛ̄ng	紅色的筆	engine-auto	
มีปากกาแดงไหมคะ	mii pakka daeng mai kha	mī bākˇ gā dhɛ̄ng maiˊ ka~	有紅色的筆嗎？	engine-auto	
ปากกา iPad	pakka iPad	bākˇ gā iPad	Apple Pencil	engine-auto	
ใช้ปากกา iPad ไหม	chai pakka iPad mai	chai~ bākˇ gā iPad maiˊ	用Apple Pencil嗎？	engine-auto	
แอร์	air	ɛ̄	冷氣	engine-auto	
เปิดแอร์	poet air	bə̄tˇ ɛ̄	開冷氣	engine-auto	
เปิดแอร์ได้ไหม	poet air dai mai	bə̄tˇ ɛ̄ dhaiˋ maiˊ	可以開冷氣嗎？	engine-auto	
หู	huu	hūˊ	耳朵	engine-auto	
ตา	taa	dā	眼睛	engine-auto	
เปิดหูเปิดตา	poet huu poet taa	bə̄tˇ hūˊ bə̄tˇ dā	開開眼界	engine-auto	
ไปเปิดหูเปิดตา	pai poet huu poet taa	bai bə̄tˇ hūˊ bə̄tˇ dā	去開開眼界	engine-auto	
เปิดไฟ	poet fai	bə̄tˇ fai	開燈	engine-auto	
เปิดใจ	poet jai	bə̄tˇ jai	打開心房/敞開心房	engine-auto	
ดินสอ	din so	dhin sɔ̄ˊ	鉛筆	engine-auto	
ใช้ดินสอเขียน	chai din so khian	chai~ dhin sɔ̄ˊ kīanˊ	用鉛筆寫字	engine-auto	
ใช้ดินสอเขียนไม่ได้	chai din so khian mai dai	chai~ dhin sɔ̄ˊ kīanˊ maiˋ dhaiˋ	不能用鉛筆寫	engine-auto	
ต้องใช้ปากกาเขียน	tong chai pakka khian	dɔ̄ngˋ chai~ bākˇ gā kīanˊ	得用原子筆/鋼筆寫	engine-auto	
กระดาษ	kra-daat	graˇ dhātˇ	紙	engine-auto	
ถุงกระดาษ	thung kra-daat	tungˊ graˇ dhātˇ	紙袋	engine-auto	
กระดาษเปล่า	kra-daat plao	graˇ dhātˇ blāuˇ	空白的紙	engine-auto	
กล่องกระดาษ	glong kra-daat	glɔ̄ngˇ graˇ dhātˇ	紙盒	engine-auto	
กระดาษทิชชู	kra-daat tissue	graˇ dhātˇ tit~ chū	衛生紙 (正式)	engine-auto	
มีทิชชูไหม	mii tissue mai	mī tit~ chū maiˊ	有衛生紙嗎？(口語)	engine-auto	
ห้องน้ำมีทิชชูไหม	hong nam mii tissue mai	hɔ̄ngˋ nām~ mī tit~ chū maiˊ	廁所有衛生紙嗎？	engine-auto	
กระเป๋าเงิน	kra-pao ngern	graˇ bāuˊ ngə̄n	錢包	engine-auto	
กระเป๋าเงินของใคร	kra-pao ngern khong khrai	graˇ bāuˊ ngə̄n kɔ̄ngˊ krai	誰的錢包？	engine-auto	
นี่กระเป๋าเงินของใคร	nii kra-pao ngern khong khrai	nīˋ graˇ bāuˊ ngə̄n kɔ̄ngˊ krai	這是誰的錢包？	engine-auto	
ไม่รู้ของใคร	mai ruu khong khrai	maiˋ rū~ kɔ̄ngˊ krai	不知道是誰的	engine-auto	
กระเป๋าหนังสือ	kra-pao nang-sue	graˇ bāuˊ nangˊ sɯ̄ˊ	書包	engine-auto	
ใบ	bai	bhai	(行李的量詞)	engine-auto	
มีกระเป๋าเดินทางกี่ใบ	mii kra-pao deun-thang gii bai	mī graˇ bāuˊ dhə̄n tāng gīˇ bhai	有幾個行李？	engine-auto	
มีกระเป๋าเดินทางหกใบ	mii kra-pao deun-thang hok bai	mī graˇ bāuˊ dhə̄n tāng hokˇ bhai	有六個行李	engine-auto	
ปลอม	plom	blɔ̄m	假的	engine-auto	
ของปลอม	khong plom	kɔ̄ngˊ blɔ̄m	假貨	engine-auto	
ไม่ซื้อของปลอม	mai seu khong plom	maiˋ sɯ̄~ kɔ̄ngˊ blɔ̄m	不買假貨	engine-auto	
ฟันปลอม	fan plom	fan blɔ̄m	假牙	engine-auto	
คุณยายใส่ฟันปลอม	khun yaai sai fan plom	kun yāi saiˇ fan blɔ̄m	外婆戴假牙	engine-auto	
แบงค์ปลอม	baeng plom	bhɛ̄ng blɔ̄m	假鈔	engine-auto	
ทำไมมีแบงค์ปลอม	thammai mii baeng plom	tam mai mī bhɛ̄ng blɔ̄m	為什麼有假鈔？	engine-auto	
ถุง	thung	tungˊ	袋子	engine-auto	
ต้องเสียเงิน	tong sia ngern	dɔ̄ngˋ sīaˊ ngə̄n	要付錢	engine-auto	
ถุงมือ	thung mue	tungˊ mɯ̄	手套	engine-auto	
ใส่ถุงมือ	sai thung mue	saiˇ tungˊ mɯ̄	戴手套	engine-auto	
ถุงเท้า	thung thao	tungˊ tāu~	襪子	engine-auto	
ใส่ถุงเท้า	sai thung thao	saiˇ tungˊ tāu~	穿襪子	engine-auto	
ถอด	thot	tɔ̄tˇ	脫	engine-auto	
ถอดเสื้อ	thot seua	tɔ̄tˇ sɯ̄aˋ	脫衣服	engine-auto	
ถอดกางเกง	thot kaang keng	tɔ̄tˇ gāng gēng	脫褲子	engine-auto	
ถอดรองเท้า	thot rong thao	tɔ̄tˇ rɔ̄ng tāu~	脫鞋	engine-auto	
ถอดแว่นตา	thot waen taa	tɔ̄tˇ wɛ̄nˋ dā	脫眼鏡	engine-auto	
ยี่ห้อ	yii hor	yīˋ hɔ̄ˋ	牌子	engine-auto	
ยี่ห้อนี้	yii hor nii	yīˋ hɔ̄ˋ nī~	這個牌子	engine-auto	
รองเท้ายี่ห้อนี้	rong thao yii hor nii	rɔ̄ng tāu~ yīˋ hɔ̄ˋ nī~	這個牌子的鞋子	engine-auto	
ใช้ดี	chai dee	chai~ dhī	好用	engine-auto	
แต่แพง	tae phaeng	dɛ̄ˇ pɛ̄ng	但是很貴	engine-auto	
ยี่ห้อนี้ใช้ดีแต่แพง	yii hor nii chai dee tae phaeng	yīˋ hɔ̄ˋ nī~ chai~ dhī dɛ̄ˇ pɛ̄ng	這個牌子很好用，但是很貴	engine-auto	
ยี่ห้ออะไร	yii hor a-rai	yīˋ hɔ̄ˋ aˇ rai	什麼牌子？	engine-auto	
มอเตอร์ไซค์	moh ter sai	mɔ̄ də̄ sai	摩托車	engine-auto	
ขี่มอเตอร์ไซค์	khee moh ter sai	kīˇ mɔ̄ də̄ sai	騎摩托車	engine-auto	
วินมอเตอร์ไซค์	win moh ter sai	win mɔ̄ də̄ sai	摩托車計程車站	engine-auto	
ปากซอยมีวินมอเตอร์ไซค์ไหม	pak soi mii win moh ter sai mai	bākˇ sɔ̄i mī win mɔ̄ də̄ sai maiˊ	巷口有摩托車計程車站嗎？	engine-auto	
ดาวน์โหลด	daao load	dhāu lōtˇ	下載	engine-auto	
คอมพิวเตอร์	khom phiw ter	kɔ̄m piw də̄	電腦	engine-auto	
...ไป...ไป	...pai...pai	...bai...bai	一邊...一邊...	engine-auto	
เดินไปดูไป	deun pai du pai	dhə̄n bai dhū bai	一邊走一邊看	engine-auto	
กินไปดูมือถือไป	kin pai du mue-thue pai	gin bai dhū mɯ̄ tɯ̄ˊ bai	一邊吃一邊看手機	engine-auto	
กินมาม่าไปดูมือถือไป	kin mama pai du mue-thue pai	gin mā māˋ bai dhū mɯ̄ tɯ̄ˊ bai	一邊吃泡麵一邊看手機	engine-auto	
คุยกันไม่รู้เรื่อง	khui kan mai ruu rueang	kui gan maiˋ rū~ rɯ̄angˋ	雞同鴨講	engine-auto	
คุย	khui	kui	聊天	engine-auto	
เรื่อง	reuang	rɯ̄angˋ	事情	book-exact	(book-exact已用引擎重新驗證)
เสียง	siang	sīangˊ	聲音	book-exact	(book-exact已用引擎重新驗證)
วันนี้ไม่มีเสียง	wan nii mai mii siang	wan nī~ maiˋ mī sīangˊ	今天沒有聲音	engine-auto	
เสียงดัง	siang dang	sīangˊ dhang	大聲	engine-auto	
ดัง	dang	dhang	很紅、很夯	engine-auto	
ร้านนี้ดัง	raan nii dang	rān~ nī~ dhang	這間店很紅	engine-auto	
เสียงดังหน่อยได้ไหมคะ	siang dang noi dai mai kha	sīangˊ dhang nɔ̄iˇ dhaiˋ maiˊ ka~	可以大聲一點嗎？	engine-auto	
เสียงเบา	siang bao	sīangˊ bhāu	小聲	engine-auto	
เบา	bao	bhāu	輕、輕輕的	engine-auto	
เสียงเบาหน่อยได้ไหมครับ	siang bao noi dai mai krap	sīangˊ bhāu nɔ̄iˇ dhaiˋ maiˊ krap~	可以小聲一點嗎？	engine-auto	
ตก	tok	dokˇ	掉下來	engine-auto	
เครื่องบินตก	khrueang bin tok	krɯ̄angˋ bhin dokˇ	墜機	engine-auto	
ตกน้ำ	tok nam	dokˇ nām~	掉在水裡	engine-auto	
ว่ายน้ำเป็นไหม	wai nam pen mai	wāiˋ nām~ ben maiˊ	會游泳嗎？	engine-auto	
ฉันว่ายน้ำเป็นค่ะ	chan wai nam pen kha	chanˊ wāiˋ nām~ ben kaˋ	我會游泳	engine-auto	
ว่ายน้ำไม่เป็น	wai nam mai pen	wāiˋ nām~ maiˋ ben	我不會游泳	engine-auto	
ก็ไม่ไปว่ายน้ำ	ko mai pai wai nam	gɔ̄ˋ maiˋ bai wāiˋ nām~	就不去游泳	engine-auto	
(e.g., เบาๆ)	(e.g., bao bao)	(e.g., bhāu bhāu)	(形容詞重複表加強語氣)	engine-auto	
พูดเสียงดัง	phut siang dang	pūtˋ sīangˊ dhang	說話很大聲	engine-auto	
พูดเบาๆ	phut bao bao	pūtˋ bhāu bhāu	小聲說	engine-auto	
หนัก	nak	nakˇ	重	engine-auto	
ของหนัก	khong nak	kɔ̄ngˊ nakˇ	重的東西	engine-auto	
กระเป๋าหนังสือหนัก	kra-pao nang-sue nak	graˇ bāuˊ nangˊ sɯ̄ˊ nakˇ	書包很重	engine-auto	
หนักเท่าไหร่	nak thao-rai	nakˇ tāuˋ raiˇ	多重？	engine-auto	
คุณหนักเท่าไหร่คะ	khun nak thao-rai kha	kun nakˇ tāuˋ raiˇ ka~	你多重？	engine-auto	
ผมหนัก 55 กิโล	phom nak ha-sip ha ki-lo	pomˊ nakˇ 55 giˇ lō	我重55公斤	engine-auto	
กระเป๋าเดินทางหนักเท่าไหร่	kra-pao deun-thang nak thao-rai	graˇ bāuˊ dhə̄n tāng nakˇ tāuˋ raiˇ	行李多重？	engine-auto	
โต	toh	dō	大 (形容人或成長)	engine-auto	
คนโต	khon toh	kon dō	老大	engine-auto	
ลูกชายคนโต	luuk chaai khon toh	lūkˋ chāi kon dō	大兒子	engine-auto	
ลูกคนโต	luuk khon toh	lūkˋ kon dō	老大 (不分性別)	engine-auto	
ลูกสาวคนโต	luuk saao khon toh	lūkˋ sāuˊ kon dō	大女兒	engine-auto	
เป็นลูกคนโตไหม	pen luuk khon toh mai	ben lūkˋ kon dō maiˊ	是老大嗎？	engine-auto	
เล็ก	lek	lek~	小	engine-auto	
คนเล็ก	khon lek	kon lek~	老么	engine-auto	
ลูกสาวคนเล็ก	luuk saao khon lek	lūkˋ sāuˊ kon lek~	小女兒	engine-auto	
เส้น	sen	sēnˋ	線、條	engine-auto	
เส้นใหญ่	sen yai	sēnˋ yaiˇ	粗的(麵條)	engine-auto	
เส้นเล็ก	sen lek	sēnˋ lek~	細的(麵條)	engine-auto	
เอาเส้นใหญ่หรือเส้นเล็ก	ao sen yai rue sen lek	au sēnˋ yaiˇ rɯ̄ˊ sēnˋ lek~	要粗的還是細的？	engine-auto	
ไซส์ใหญ่	size yai	sai yaiˇ	大號	engine-auto	
ตัว	tua	dūa	(件/隻/張的量詞)	engine-auto	
ตัวใหญ่	tua yai	dūa yaiˇ	大件(衣服)	engine-auto	
ไซส์เล็ก	size lek	sai lek~	小號	engine-auto	
ตัวเล็ก	tua lek	dūa lek~	小件(衣服)	engine-auto	
ใส่ไซส์อะไร	sai size a-rai	saiˇ sai aˇ rai	穿什麼尺寸？	engine-auto	
ยาว	yao	yāu	長	engine-auto	
สั้น	san	sanˋ	短	engine-auto	
ผมยาว	phom yao	pomˊ yāu	長髮	engine-auto	
ผมสั้น	phom san	pomˊ sanˋ	短髮	engine-auto	
เสื้อแขนยาว	seua khaen yao	sɯ̄aˋ kɛ̄nˊ yāu	長袖(上衣)	engine-auto	
เสื้อแขนสั้น	seua khaen san	sɯ̄aˋ kɛ̄nˊ sanˋ	短袖(上衣)	engine-auto	
กางเกงขายาว	kaang keng kha yao	gāng gēng kāˊ yāu	長褲	engine-auto	
กางเกงขาสั้น	kaang keng kha san	gāng gēng kāˊ sanˋ	短褲	engine-auto	
ใหม่	mai	maiˇ	新的	book-exact	(book-exact已用引擎重新驗證)
ดารา	da-ra	dhā rā	明星	engine-auto	
ดาราใหม่	da-ra mai	dhā rā maiˇ	新明星	engine-auto	
มีแฟนใหม่แล้ว	mii faen mai laew	mī fɛ̄n maiˇ lɛ̄u~	有新情人了	engine-auto	
รถใหม่	rot mai	rot~ maiˇ	新車	engine-auto	
ซื้อรถใหม่	seu rot mai	sɯ̄~ rot~ maiˇ	買新車	engine-auto	
บ้านใหม่	baan mai	bhānˋ maiˇ	新房子	engine-auto	
หางานใหม่	haa ngaan mai	hāˊ ngān maiˇ	找新工作	engine-auto	
ออฟฟิศใหม่	office mai	ɔ̄pˇ fit~ maiˇ	新辦公室	engine-auto	
รุ่น	run	runˋ	代、款、型號	engine-auto	
รุ่นใหม่	run mai	runˋ maiˇ	新一代、新款	engine-auto	
เก่า	kao	gāuˇ	舊的	engine-auto	
เพื่อนเก่า	phuean kao	pɯ̄anˋ gāuˇ	老朋友	engine-auto	
สามีเก่า	saa mii kao	sāˊ mī gāuˇ	前夫	engine-auto	
รองเท้าเก่าใส่สบาย	rong thao kao sai sabai	rɔ̄ng tāu~ gāuˇ saiˇ saˇ bhāi	舊鞋好穿	engine-auto	
เก่าไม่ไปใหม่ไม่มา	kao mai pai mai mai maa	gāuˇ maiˋ bai maiˇ maiˋ mā	舊的不去，新的不來	engine-auto	
ถือ	thue	tɯ̄ˊ	提、拿	engine-auto	
แม่ถือของ	mae thue khong	mɛ̄ˋ tɯ̄ˊ kɔ̄ngˊ	媽媽在提東西	engine-auto	
ถือของหนัก	thue khong nak	tɯ̄ˊ kɔ̄ngˊ nakˇ	提重的東西	engine-auto	
ถือกระเป๋า	thue kra-pao	tɯ̄ˊ graˇ bāuˊ	提包包	engine-auto	
กระเป๋าถือ	kra-pao thue	graˇ bāuˊ tɯ̄ˊ	提包、手提包	engine-auto	
ถือขนมกลับไต้หวัน	thue khanom glap taiwan	tɯ̄ˊ kaˇ nom glapˇ daiˋ wanˊ	拿點心回台灣	engine-auto	
ถือเนื้อหมูกลับไต้หวันได้ไหม	thue nuea muu glap taiwan dai mai	tɯ̄ˊ nɯ̄a~ mūˊ glapˇ daiˋ wanˊ dhaiˋ maiˊ	可以拿豬肉回台灣嗎？	engine-auto	
ถือกลับไต้หวันไม่ได้	thue glap taiwan mai dai	tɯ̄ˊ glapˇ daiˋ wanˊ maiˋ dhaiˋ	不能拿回台灣	engine-auto	
กลับบ้าน	glap baan	glapˇ bhānˋ	回家	engine-auto	
รับ	rap	rap~	接、收	engine-auto	
ไปรับลูก	pai rap luuk	bai rap~ lūkˋ	去接小孩	engine-auto	
